group,item,spec,qty,unit,basis,eur_low,eur_high,reference
Arm structure,Stainless fasteners,M3/M4/M5 assortment,1,set,PLAN §4.3,8,15,
Head,Vertical slide,"25 mm travel, for the floating comb",1,pcs,"PLAN §3.2, [rake] float_travel",8,20,
Head,Stainless pins,"Ø2.5 mm, 5 at 8 mm pitch, tips 5 mm below the skid",5,pcs,[rake],0.5,1.5,
Head,Skid,"POM or brass, 22 × 16 mm",1,pcs,[rake],2,6,
Head,Screed blade,"44 × 4 mm, stainless or brass",1,pcs,[screed],2,6,
Head,Micro servo,"latch for the slide, on FluidNC's analog output",1,pcs,PLAN §3.2,3,8,
Head,Capsule slip ring,"6 circuits, 12.5 mm, for the servo's three wires",1,pcs,PLAN §4.1,4,10,eBay 6-circuit 12.5 mm 2 A: €4.06
Head,Hall sensor + magnet,yaw index,1,set,PLAN §4.1,2,5,
Control,FluidNC controller,"ESP32 with ≥ 4 stepper drivers, e.g. V1 Engineering Jackpot3 (6 × TMC2226)",1,pcs,PLAN §4.2,70,110,Jackpot3: US$76.99
Control,24 V power adapter,"external, certified (CE/UL), 60–100 W",1,pcs,PLAN §4.2,15,35,
Control,Buck converter 24 → 12 V,"≥ 3 A: pump, lantern LEDs, servo",1,pcs,PLAN §4.2,3,10,
Control,Limit switches,"homing q1, q2, z",3,pcs,PLAN §4.1,1,3,
Control,"Wire, connectors, drag chain, drip loops",,1,set,PLAN §4.2,15,35,
Water,"Pump, 12 V DC brushless","≥ 0.29 m head at 1.0 L/min, with a flow adjuster or PWM",1,pcs,water.py operating point (PLAN §3.7),8,20,12 V 3 m / 240 L/h brushless: US$9.75–12.61
Water,Reservoir,"3 L, dark and lidded, 224 × 162 × 85 mm under the pool",1,pcs,configs/poc.toml [water],5,15,
Water,Silicone tube,"6 mm ID, 0.9 m",1,pcs,[water] tube_len_m + 15 %,3,8,
Water,Float switch,cuts the pump's power directly,1,pcs,PLAN §4.2,3,8,
Water,Leak sensor,drawer floor,1,pcs,PLAN §4.2,3,10,
Water,Sponge pre-filter,pump intake,1,pcs,PLAN §4.3,2,5,
Water,EPDM liner,"0.31 m² of surface (land and water, slopes included) plus laps up the walls: one 1 × 1 m sheet",1,pcs,terrain surface area,8,20,
Garden,"White quartz sand, washed",0.1–0.5 mm; the bed holds 2.27 L = 3.29 kg at 1450 kg/m³,4,kg,sand outline × 25 mm bed,1,3,
Garden,Living moss,463 cm² (within 45 mm of the water),0.053,m²,terrain zones,300,900,
Garden,Preserved moss,1362 cm² (the dry ground),0.157,m²,terrain zones,100,400,
Garden,Fill under the land,"8.9 L from the base plate up to the ground: substrate on the living side (the hill is 65 mm high), a foam or cork former can replace it under the preserved moss",10.2,L,terrain heights,0.5,1.5,
Garden,Drainage grit,10 mm under the living moss,0.53,L,living area × 10 mm (assumed),2,5,
Garden,Stones,the pair in the sand: 70 and 30 mm above it,2,pcs,configs/poc.toml [[stones]],3,15,
Garden,Rocks,"spring rock 90 mm (sealed into the liner), cascade rocks 48, 30, 18 mm",4,pcs,configs/poc.toml features,3,15,
Garden,Stream-edge stones and bed pebbles,10–20 mm stones and gravel for the 467 mm stream,1,kg,stream length,3,10,
Garden,Stone lanterns,"about spring 55, back 75, front-right 65 mm tall on their footings (tops 90 mm above the sand), hollow for an LED",3,pcs,configs/poc.toml [[lanterns]],8,25,
Garden,"Warm LEDs, 2200 K",~60 lm each at 12 V,3,pcs,"configs/poc.toml lumens, cct",1,4,
Garden,Grow light,"dimmable, on a timer, over the living side and the tree",1,pcs,PLAN §3.6,20,60,
Garden,Bonsai,"an indoor species, ≤ 300 mm tall with the model's canopy (§3.8)",1,pcs,your own tree,0,0,
Tray,Walnut boards for the frame,"22 × 67 mm, 2.8 m for four mitred boards",2.8,m,tray 700 × 450 mm; 22 mm thickness assumed,10,25,
Tray,Plywood base,"12 mm, 700 × 450 mm inside the frame",1,pcs,configs/poc.toml [tray],10,25,
Tray,Sand basin,"sealed basin with a 5–10 mm kerb, to the sand outline",1,pcs,PLAN §4.3,10,30,
Tray,"Epoxy or sealant, and oil finish",,1,set,PLAN §4.3,15,35,
Tray,Electronics drawer and plinth,"under the dry right-hand side, above the highest water",1,set,PLAN §4.2,20,50,
